Name,Team,Position,Trade Value,SF or TEP Value,Value Change
Drake Maye,NE,QB,52,103,- / -
Josh Allen,BUF,QB,51,101,-1 / -2
Lamar Jackson,BAL,QB,47,91,- / -
Jayden Daniels,WAS,QB,47,91,-2 / -5
Patrick Mahomes II,KC,QB,45,85,-2 / -6
Justin Herbert,LAC,QB,44,82,-1 / -3
Joe Burrow,CIN,QB,44,82,- / -
Jalen Hurts,PHI,QB,43,79,-3 / -9
Jaxson Dart,NYG,QB,42,76,- / -
Caleb Williams,CHI,QB,40,70,+1 / +3
Brock Purdy,SF,QB,39,67,+3 / +9
Jordan Love,GB,QB,39,67,-1 / -3
Trevor Lawrence,JAC,QB,38,64,+6 / +17
Bo Nix,DEN,QB,38,64,- / -
C.J. Stroud,HOU,QB,35,55,+1 / +3
Dak Prescott,DAL,QB,34,52,-2 / -6
Cam Ward,TEN,QB,34,52,- / -
Baker Mayfield,TB,QB,33,50,-3 / +12
Sam Darnold,SEA,QB,32,47,-1 / -3
Jared Goff,DET,QB,31,45,-1 / -2
J.J. McCarthy,MIN,QB,30,43,+2 / +4
Tyler Shough,NO,QB,29,41,+8 / +12
Michael Penix Jr.,ATL,QB,29,41,- / -
Daniel Jones,IND,QB,28,39,-4 / -8
Kyler Murray,ARI,QB,28,39,- / -
Matthew Stafford,LAR,QB,27,38,- / -
Shedeur Sanders,CLE,QB,27,38,+6 / +9
Malik Willis,GB,QB,25,35,+18 / +22
Bryce Young,CAR,QB,24,34,- / -
Mac Jones,SF,QB,21,29,- / -
Tua Tagovailoa,MIA,QB,21,29,-5 / -8
Jalen Milroe,SEA,QB,20,28,- / -
Jacoby Brissett,ARI,QB,18,25,-1 / -1
Anthony Richardson Sr.,IND,QB,17,24,- / -
Joe Milton III,DAL,QB,14,21,- / -
Justin Fields,NYJ,QB,13,20,-6 / -6
Spencer Rattler,NO,QB,10,16,+1 / +1
Aaron Rodgers,PIT,QB,9,15,-7 / -8
Dillon Gabriel,CLE,QB,9,15,-5 / -6
Geno Smith,LV,QB,8,14,New
Jameis Winston,NYG,QB,8,14,- / -
Marcus Mariota,WAS,QB,8,14,+4 / +10
Kirk Cousins,ATL,QB,6,12,- / -
Zach Wilson,MIA,QB,3,6,- / -
Deshaun Watson,CLE,QB,3,6,New
Tyrod Taylor,NYJ,QB,3,6,-3 / -6
Will Levis,TEN,QB,2,5,- / +1
Aidan O'Connell,LV,QB,2,4,- / -
Trey Lance,LAC,QB,2,4,- / -
Russell Wilson,NYG,QB,2,4,-1 / -2
All Other QBs,N/A,QB,1,4,N/A
Jahmyr Gibbs,DET,RB,81,N/A,-
Bijan Robinson,ATL,RB,80,N/A,2
Ashton Jeanty,LV,RB,67,N/A,1
De'Von Achane,MIA,RB,67,N/A,1
Jonathan Taylor,IND,RB,66,N/A,−3
Omarion Hampton,LAC,RB,64,N/A,1
James Cook III,BUF,RB,63,N/A,-
TreVeyon Henderson,NE,RB,62,N/A,-
Bucky Irving,TB,RB,59,N/A,−1
Breece Hall,NYJ,RB,58,N/A,-
RJ Harvey,DEN,RB,55,N/A,4
Quinshon Judkins,CLE,RB,55,N/A,−6
Christian McCaffrey,SF,RB,54,N/A,−5
Josh Jacobs,GB,RB,52,N/A,−1
Kyren Williams,LAR,RB,52,N/A,−1
Chase Brown,CIN,RB,51,N/A,2
Saquon Barkley,PHI,RB,51,N/A,-
Javonte Williams,DAL,RB,47,N/A,−3
Cam Skattebo,NYG,RB,47,N/A,1
Kenneth Walker III,SEA,RB,46,N/A,-
Travis Etienne Jr.,JAC,RB,46,N/A,1
Derrick Henry,BAL,RB,43,N/A,−1
Kyle Monangai,CHI,RB,43,N/A,6
D'Andre Swift,CHI,RB,37,N/A,-
Zach Charbonnet,SEA,RB,36,N/A,2
Woody Marks,HOU,RB,36,N/A,−1
Blake Corum,LAR,RB,34,N/A,10
Jaylen Warren,PIT,RB,34,N/A,−5
Trey Benson,ARI,RB,34,N/A,−3
Rico Dowdle,CAR,RB,34,N/A,−11
Bhayshul Tuten,JAC,RB,33,N/A,−2
Tyler Allgeier,ATL,RB,29,N/A,-
David Montgomery,DET,RB,29,N/A,−5
Tyrone Tracy Jr.,NYG,RB,27,N/A,−1
Jacory Croskey-Merritt,WAS,RB,26,N/A,4
Dylan Sampson,CLE,RB,26,N/A,4
Tyjae Spears,TEN,RB,26,N/A,-
Kenneth Gainwell,PIT,RB,25,N/A,9
Kaleb Johnson,PIT,RB,24,N/A,−3
Chuba Hubbard,CAR,RB,24,N/A,2
Tony Pollard,TEN,RB,23,N/A,5
J.K. Dobbins,DEN,RB,22,N/A,−2
Rhamondre Stevenson,NE,RB,21,N/A,5
Devin Neal,NO,RB,21,N/A,4
Kimani Vidal,LAC,RB,20,N/A,2
Ollie Gordon II,MIA,RB,19,N/A,−1
Braelon Allen,NYJ,RB,19,N/A,1
Rachaad White,TB,RB,18,N/A,−4
Tank Bigsby,PHI,RB,18,N/A,3
Jordan Mason,MIN,RB,18,N/A,−4
Sean Tucker,TB,RB,17,N/A,1
Keaton Mitchell,BAL,RB,17,N/A,6
Aaron Jones Sr.,MIN,RB,15,N/A,−1
Brian Robinson Jr.,SF,RB,15,N/A,−1
Alvin Kamara,NO,RB,13,N/A,−4
Jonathon Brooks,CAR,RB,13,N/A,2
Jaylen Wright,MIA,RB,13,N/A,9
Emanuel Wilson,GB,RB,13,N/A,-
Isiah Pacheco,KC,RB,12,N/A,−2
Isaiah Davis,NYJ,RB,12,N/A,-
Brashard Smith,KC,RB,12,N/A,−1
Kendre Miller,NO,RB,12,N/A,-
James Conner,ARI,RB,11,N/A,−1
Chris Rodriguez Jr.,WAS,RB,11,N/A,2
Ray Davis,BUF,RB,8,N/A,-
Najee Harris,LAC,RB,6,N/A,2
Jarquez Hunter,LAR,RB,6,N/A,-
DJ Giddens,IND,RB,6,N/A,−1
MarShawn Lloyd,GB,RB,5,N/A,−1
Will Shipley,PHI,RB,5,N/A,−1
Audric Estime,NO,RB,5,N/A,New
Jaydon Blue,DAL,RB,5,N/A,-
Joe Mixon,HOU,RB,5,N/A,-
LeQuint Allen Jr.,JAC,RB,5,N/A,-
Bam Knight,ARI,RB,4,N/A,New
Isaac Guerendo,SF,RB,4,N/A,−1
Kareem Hunt,KC,RB,4,N/A,−4
Trevor Etienne,CAR,RB,4,N/A,-
Chris Brooks,GB,RB,4,N/A,-
Michael Carter,ARI,RB,4,N/A,New
Raheim Sanders,CLE,RB,4,N/A,New
Ty Johnson,BUF,RB,4,N/A,-
Jerome Ford,CLE,RB,4,N/A,-
Tahj Brooks,CIN,RB,3,N/A,-
Jaleel McLaughlin,DEN,RB,3,N/A,−1
Devin Singletary,NYG,RB,3,N/A,−1
Ameer Abdullah,IND,RB,2,N/A,-
Nick Chubb,HOU,RB,2,N/A,−2
All Other RBs,N/A,RB,1,N/A,N/A
Brock Bowers,LV,TE,69,82,-1 / -2
Trey McBride,ARI,TE,65,79,+2 / +2
Tyler Warren,IND,TE,53,62,-1 / -2
Tucker Kraft,GB,TE,51,60,+1 / +1
Colston Loveland,CHI,TE,50,59,+6 / +6
Harold Fannin Jr.,CLE,TE,49,58,+14 / +15
Sam LaPorta,DET,TE,44,53,- / -
Oronde Gadsden II,LAC,TE,41,49,-3 / -4
Kyle Pitts Sr.,ATL,TE,41,49,+11 / +10
George Kittle,SF,TE,38,46,- / -
Jake Ferguson,DAL,TE,34,42,-4 / -4
Dalton Kincaid,BUF,TE,33,40,- / +1
Brenton Strange,JAC,TE,28,35,+4 / +5
Mason Taylor,NYJ,TE,26,33,-4 / -7
Terrance Ferguson,LAR,TE,25,32,+3 / +3
Dallas Goedert,PHI,TE,25,32,-1 / -1
Theo Johnson,NYG,TE,25,32,- / +1
Isaiah Likely,BAL,TE,25,32,- / +1
AJ Barner,SEA,TE,24,30,+1 / +2
T.J. Hockenson,MIN,TE,22,28,-2 / -3
Elijah Arroyo,SEA,TE,19,25,-4 / -4
Mark Andrews,BAL,TE,20,25,-2 / -2
Juwan Johnson,NO,TE,18,24,+3 / +3
Hunter Henry,NE,TE,17,22,- / -
David Njoku,CLE,TE,16,21,-2 / -3
Travis Kelce,KC,TE,13,18,-11 / -12
Michael Mayer,LV,TE,13,18,+7 / +10
Dalton Schultz,HOU,TE,13,18,- / -
Cade Otton,TB,TE,13,18,-8 / -9
Gunnar Helm,TEN,TE,12,16,+3 / +5
Chig Okonkwo,TEN,TE,10,14,+4 / +6
Cole Kmet,CHI,TE,8,11,+1 / +2
Pat Freiermuth,PIT,TE,8,11,+3 / +4
Jake Tonges,SF,TE,5,7,New
Ben Sinnott,WAS,TE,5,7,- / -
Darnell Washington,PIT,TE,5,7,+2 / +3
Colby Parkinson,LAR,TE,5,7,New
Ja'Tavion Sanders,CAR,TE,4,5,-1 / -2
Mike Gesicki,CIN,TE,4,5,- / -
Evan Engram,DEN,TE,3,4,-2 / -3
Elijah Higgins,ARI,TE,3,4,+1 / +1
Noah Gray,KC,TE,3,4,New
Luke Musgrave,GB,TE,3,4,- / -
Darren Waller,MIA,TE,3,4,-1 / -1
Zach Ertz,WAS,TE,2,3,-2 / -2
Jonnu Smith,PIT,TE,2,3,-1 / -1
All Other TEs,N/A,TE,1,N/A,N/A
Ja'Marr Chase,CIN,WR,87,N/A,-
Jaxon Smith-Njigba,SEA,WR,86,N/A,-
Puka Nacua,LAR,WR,79,N/A,-
Amon-Ra St. Brown,DET,WR,74,N/A,-
Malik Nabers,NYG,WR,73,N/A,2
CeeDee Lamb,DAL,WR,72,N/A,−2
Justin Jefferson,MIN,WR,72,N/A,−1
Drake London,ATL,WR,70,N/A,-
Tetairoa McMillan,CAR,WR,67,N/A,-
Rashee Rice,KC,WR,66,N/A,−3
Nico Collins,HOU,WR,66,N/A,2
George Pickens,DAL,WR,66,N/A,-
Emeka Egbuka,TB,WR,66,N/A,−4
Garrett Wilson,NYJ,WR,63,N/A,1
Chris Olave,NO,WR,61,N/A,4
Ladd McConkey,LAC,WR,61,N/A,−1
Rome Odunze,CHI,WR,59,N/A,−3
Tee Higgins,CIN,WR,56,N/A,−1
Jameson Williams,DET,WR,55,N/A,3
Luther Burden III,CHI,WR,55,N/A,9
A.J. Brown,PHI,WR,55,N/A,2
Jaylen Waddle,MIA,WR,54,N/A,−3
Zay Flowers,BAL,WR,54,N/A,2
DeVonta Smith,PHI,WR,54,N/A,−1
Brian Thomas Jr.,JAC,WR,54,N/A,−1
Marvin Harrison Jr.,ARI,WR,53,N/A,−3
Travis Hunter,JAC,WR,53,N/A,-
Jordan Addison,MIN,WR,50,N/A,-
Ricky Pearsall,SF,WR,49,N/A,3
Christian Watson,GB,WR,47,N/A,7
DK Metcalf,PIT,WR,47,N/A,−1
Michael Pittman Jr.,IND,WR,47,N/A,−2
Jayden Higgins,HOU,WR,45,N/A,-
Quentin Johnston,LAC,WR,44,N/A,-
Wan'Dale Robinson,NYG,WR,41,N/A,1
Davante Adams,LAR,WR,41,N/A,−5
Xavier Worthy,KC,WR,41,N/A,−4
Michael Wilson,ARI,WR,41,N/A,14
Courtland Sutton,DEN,WR,40,N/A,1
Alec Pierce,IND,WR,38,N/A,−2
Troy Franklin,DEN,WR,36,N/A,−8
Matthew Golden,GB,WR,36,N/A,−4
Terry McLaurin,WAS,WR,35,N/A,−1
Jaylin Noel,HOU,WR,35,N/A,−4
Josh Downs,IND,WR,33,N/A,-
Jakobi Meyers,JAC,WR,32,N/A,7
Khalil Shakir,BUF,WR,30,N/A,−11
Jayden Reed,GB,WR,30,N/A,-
Stefon Diggs,NE,WR,28,N/A,−8
DJ Moore,CHI,WR,28,N/A,−8
Mike Evans,TB,WR,27,N/A,4
Tre Harris,LAC,WR,27,N/A,1
Jauan Jennings,SF,WR,27,N/A,2
Brandon Aiyuk,SF,WR,27,N/A,-
Kayshon Boutte,NE,WR,27,N/A,−3
Elic Ayomanor,TEN,WR,27,N/A,−1
Chimere Dike,TEN,WR,27,N/A,2
Parker Washington,JAC,WR,26,N/A,2
Adonai Mitchell,NYJ,WR,25,N/A,8
Romeo Doubs,GB,WR,25,N/A,−9
Chris Godwin Jr.,TB,WR,24,N/A,2
Isaac TeSlaa,DET,WR,24,N/A,2
Jalen Coker,CAR,WR,23,N/A,5
Kyle Williams,NE,WR,23,N/A,4
Rashid Shaheed,SEA,WR,22,N/A,−3
Tory Horton,SEA,WR,21,N/A,−5
Jalen McMillan,TB,WR,20,N/A,5
Pat Bryant,DEN,WR,20,N/A,-
Jerry Jeudy,CLE,WR,19,N/A,−2
Deebo Samuel Sr.,WAS,WR,19,N/A,−8
Tre Tucker,LV,WR,17,N/A,−2
Tyreek Hill,MIA,WR,16,N/A,3
Jack Bech,LV,WR,16,N/A,6
Keon Coleman,BUF,WR,16,N/A,−3
Marvin Mims Jr.,DEN,WR,15,N/A,−2
Tez Johnson,TB,WR,14,N/A,−13
Darnell Mooney,ATL,WR,14,N/A,−3
Dontayvion Wicks,GB,WR,12,N/A,-
Rashod Bateman,BAL,WR,11,N/A,−5
Ryan Flournoy,DAL,WR,10,N/A,7
Calvin Ridley,TEN,WR,10,N/A,1
John Metchie III,NYJ,WR,10,N/A,-
Konata Mumpfield,LAR,WR,9,N/A,New
Andrei Iosivas,CIN,WR,9,N/A,1
Xavier Legette,CAR,WR,9,N/A,−1
Cedric Tillman,CLE,WR,9,N/A,−6
Malik Washington,MIA,WR,9,N/A,−1
Jalen Royals,KC,WR,9,N/A,-
Tank Dell,HOU,WR,9,N/A,-
Darius Slayton,NYG,WR,9,N/A,−1
Luke McCaffrey,WAS,WR,9,N/A,−2
Christian Kirk,HOU,WR,8,N/A,−2
Devaughn Vele,NO,WR,8,N/A,1
Savion Williams,GB,WR,8,N/A,−1
DeMario Douglas,NE,WR,8,N/A,-
Roman Wilson,PIT,WR,8,N/A,-
Keenan Allen,LAC,WR,7,N/A,−8
Cooper Kupp,SEA,WR,7,N/A,−2
Dont'e Thornton Jr.,LV,WR,7,N/A,-
Isaiah Bond,CLE,WR,7,N/A,-
Marquise Brown,KC,WR,7,N/A,−2
Calvin Austin III,PIT,WR,7,N/A,−1
Joshua Palmer,BUF,WR,7,N/A,-
Devontez Walker,BAL,WR,7,1,1
Mack Hollins,NE,WR,7,N/A,-
Jaylin Lane,WAS,WR,6,N/A,−1
Jalen Nailor,MIN,WR,6,N/A,-
KeAndre Lambert-Smith,LAC,WR,6,N/A,1
Xavier Hutchinson,HOU,WR,6,N/A,−2
Olamide Zaccheaus,CHI,WR,6,N/A,-
Tyquan Thornton,KC,WR,6,N/A,−5
Jordan Whittington,LAR,WR,5,N/A,-
Tai Felton,MIN,WR,5,N/A,-
Dyami Brown,JAC,WR,3,N/A,−1
Jordan Watkins,SF,WR,2,N/A,-